project,source,long,lat,date,subset,depth,temp,chltot,chl0.2,chl2,chl20
SEEDS I,,164.2708333,48.64066667,01/7/26,IN Day9,50,3.19,0.8133,0.25201,0.2416,0.31969
SEEDS I,,164.0378333,48.59266667,01/7/28,IN Day11,5,9.5,11.33341,0.20886,0.41265,10.71189
SEEDS I,,164.0378333,48.59266667,01/7/28,IN Day11,10,9.46,9.1071,0.28593,0.71235,8.10882
SEEDS I,,164.0378333,48.59266667,01/7/28,IN Day11,30,4.72,0.67671,0.22671,0.17123,0.27877
SEEDS I,,164.0378333,48.59266667,01/7/28,IN Day11,50,2.81,0.56574,0.13629,0.19863,0.23082
SEEDS I,,163.7628333,48.58216667,01/7/29,OUT Day11,5,9.31,0.93428,0.27398,0.23836,0.42194
SEEDS I,,163.7628333,48.58216667,01/7/29,OUT Day11,10,9.29,0.96511,0.15136,0.35207,0.46167
SEEDS I,,163.7628333,48.58216667,01/7/29,OUT Day11,30,5.72,0.54725,0.20959,0.11095,0.22671
SEEDS I,,163.7628333,48.58216667,01/7/29,OUT Day11,50,3.77,0.69658,0.20274,0.16301,0.33084
SEEDS I,,163.8976667,48.55483333,01/7/31,IN Day13,5,9.5,14.42629,0.11628,0.61823,13.69178
SEEDS I,,163.8976667,48.55483333,01/7/31,IN Day13,10,9.5,12.37998,0.44012,0.16612,11.77374
SEEDS I,,163.8976667,48.55483333,01/7/31,IN Day13,30,5,0.78571,0.26647,0.19523,0.32401
SEEDS I,,163.8976667,48.55483333,01/7/31,IN Day13,50,3.31,0.35415,0.07193,0.08974,0.19249
SEEDS I,,163.6646667,48.46316667,01/7/31,OUT Day13,5,9.22,0.61789,0.23907,0.17194,0.20688
SEEDS I,,163.6646667,48.46316667,01/7/31,OUT Day13,10,8.88,0.63022,0.27195,0.13358,0.22469
SEEDS I,,163.6646667,48.46316667,01/7/31,OUT Day13,50,2.64,0.27675,0.13152,0.06713,0.07809
AMT 2,Mara_„n et al,-55.63,-47.58,114,TEMP,-7,7.34,0.36869,0.09887,0.14521,0.12461
AMT 2,,-55.63,-47.58,114,TEMP,-20,7.33,0.38516,0.01854,0.18125,0.18537
AMT 2,,-55.63,-47.58,114,TEMP,-40,7.33,0.77548,0.24407,0.25643,0.27497
AMT 2,,-55.63,-47.58,114,TEMP,-60,7.24,0.51595,0.17301,0.19464,0.1483
AMT 2,,-55.63,-47.58,114,TEMP,-90,5.12,0.07724,0.03707,0.02884,0.01133
AMT 2,,-54.74,-43.43,115,TEMP,-7,12.79,0.91657,0.67558,0.13388,0.1071
AMT 2,,-54.74,-43.43,115,TEMP,-20,12.74,0.63851,0.46961,0.13182,0.03707
AMT 2,,-54.74,-43.43,115,TEMP,-30,12.39,0.41194,0.2966,0.10299,0.01236
AMT 2,,-53.33,-39.4,116,OLIGO,-7,19.1,0.27703,0.17919,0.05355,0.04428
AMT 2,,-53.33,-39.4,116,OLIGO,-30,19.11,0.28115,0.20597,0.04119,0.03399
AMT 2,,-53.33,-39.4,116,OLIGO,-50,19.11,0.40988,0.28836,0.06488,0.05664
AMT 2,,-53.33,-39.4,116,OLIGO,-70,19.12,0.39958,0.25746,0.08239,0.05973
AMT 2,,-53.33,-39.4,116,OLIGO,-100,19.12,0.46343,0.30896,0.09269,0.06179
